date,pm25,pm10,temperature,humidity
2026-02-25,145.0,200.0,30,65
2026-02-26,168.0,223.0,29,64
2026-02-27,161.0,216.0,28,63
2026-02-28,154.0,209.0,27,62
2026-03-01,122.0,172.0,26,61
2026-03-02,115.0,165.0,25,60
2026-03-03,138.0,188.0,34,59
2026-03-04,131.0,181.0,33,58
2026-03-05,124.0,174.0,32,57
2026-03-06,117.0,167.0,31,56
2026-03-07,140.0,190.0,30,55
2026-03-08,133.0,183.0,29,54
2026-03-09,126.0,176.0,28,53
2026-03-10,119.0,169.0,27,52
2026-03-11,142.0,192.0,26,51
2026-03-12,135.0,185.0,25,50
2026-03-13,128.0,178.0,34,49
2026-03-14,121.0,171.0,33,48
2026-03-15,144.0,194.0,32,47
2026-03-16,137.0,187.0,31,46
2026-03-17,130.0,180.0,30,45
2026-03-18,123.0,173.0,29,44
2026-03-19,116.0,166.0,28,43
2026-03-20,139.0,189.0,27,42
2026-03-21,132.0,182.0,26,41
2026-03-22,125.0,175.0,25,40
2026-03-23,118.0,168.0,34,79
2026-03-24,141.0,191.0,33,78
2026-03-25,134.0,184.0,32,77
2026-03-26,127.0,177.0,31,76
2026-03-27,120.0,170.0,30,75
2026-03-28,143.0,193.0,29,74
2026-03-29,136.0,186.0,28,73
2026-03-30,129.0,179.0,27,72
2026-03-31,122.0,172.0,26,71
2026-04-01,115.0,165.0,25,70
2026-04-02,138.0,188.0,34,69
2026-04-03,131.0,181.0,33,68
2026-04-04,124.0,174.0,32,67
2026-04-05,117.0,167.0,31,66
2026-04-06,140.0,190.0,30,65
2026-04-07,133.0,183.0,29,64
2026-04-08,126.0,176.0,28,63
2026-04-09,119.0,169.0,27,62
2026-04-10,142.0,192.0,26,61
2026-04-11,135.0,185.0,25,60
2026-04-12,128.0,178.0,34,59
2026-04-13,121.0,171.0,33,58
2026-04-14,144.0,194.0,32,57
2026-04-15,137.0,187.0,31,56
2026-04-16,130.0,180.0,30,55
2026-04-17,123.0,173.0,29,54
2026-04-18,116.0,166.0,28,53
2026-04-19,139.0,189.0,27,52
2026-04-20,132.0,182.0,26,51
2026-04-21,125.0,175.0,25,50
2026-04-22,118.0,168.0,34,49
2026-04-23,141.0,191.0,33,48
2026-04-24,134.0,184.0,32,47
2026-04-25,127.0,177.0,31,46
2026-04-26,120.0,170.0,30,45
2026-04-27,143.0,193.0,29,44
2026-04-28,136.0,186.0,28,43
2026-04-29,129.0,179.0,27,42
2026-04-30,122.0,172.0,26,41
2026-05-01,115.0,165.0,35,40
2026-05-02,138.0,188.0,44,79
2026-05-03,131.0,181.0,43,78
2026-05-04,124.0,174.0,42,77
2026-05-05,117.0,167.0,41,76
2026-05-06,140.0,190.0,40,75
2026-05-07,133.0,183.0,39,74
2026-05-08,126.0,176.0,38,73
2026-05-09,119.0,169.0,37,72
2026-05-10,142.0,192.0,36,71
2026-05-11,135.0,185.0,35,70
2026-05-12,128.0,178.0,44,69
2026-05-13,121.0,171.0,43,68
2026-05-14,144.0,194.0,42,67
2026-05-15,137.0,187.0,41,66
2026-05-16,130.0,180.0,40,65
2026-05-17,123.0,173.0,39,64
2026-05-18,116.0,166.0,38,63
2026-05-19,139.0,189.0,37,62
2026-05-20,132.0,182.0,36,61
2026-05-21,125.0,175.0,35,60
2026-05-22,118.0,168.0,44,59
2026-05-23,141.0,191.0,43,58
2026-05-24,134.0,184.0,42,57
2026-05-25,127.0,177.0,41,56
2026-05-26,120.0,170.0,40,55
2026-05-27,143.0,193.0,39,54
2026-05-28,136.0,186.0,38,53
2026-05-29,129.0,179.0,37,52
2026-05-30,122.0,172.0,36,51
2026-05-31,115.0,165.0,35,50
2026-06-01,123.0,170.0,44,49
2026-06-02,116.0,163.0,43,48
2026-06-03,109.0,156.0,42,47
2026-06-04,102.0,149.0,41,46
2026-06-05,125.0,172.0,40,45
2026-06-06,118.0,165.0,39,44
2026-06-07,111.0,158.0,38,43
2026-06-08,104.0,151.0,37,42
2026-06-09,127.0,174.0,36,41
2026-06-10,120.0,167.0,35,40
2026-06-11,113.0,160.0,44,79
2026-06-12,106.0,153.0,43,78
2026-06-13,129.0,176.0,42,77
2026-06-14,122.0,169.0,41,76
2026-06-15,115.0,162.0,40,75
2026-06-16,108.0,155.0,39,74
2026-06-17,101.0,148.0,38,73
2026-06-18,124.0,171.0,37,72
2026-06-19,117.0,164.0,36,71
2026-06-20,110.0,157.0,35,70
2026-06-21,103.0,150.0,44,69
2026-06-22,126.0,173.0,43,68
2026-06-23,119.0,166.0,42,67
2026-06-24,112.0,159.0,41,66
2026-06-25,105.0,152.0,40,65
2026-06-26,128.0,175.0,39,64
2026-06-27,121.0,168.0,38,63
2026-06-28,114.0,161.0,37,62
2026-06-29,107.0,154.0,36,61
2026-06-30,100.0,147.0,35,60
2026-07-01,123.0,170.0,44,59
2026-07-02,116.0,163.0,43,58
2026-07-03,109.0,156.0,42,57
2026-07-04,102.0,149.0,41,56
2026-07-05,125.0,172.0,40,55
2026-07-06,118.0,165.0,39,54
2026-07-07,111.0,158.0,38,53
2026-07-08,104.0,151.0,37,52
2026-07-09,127.0,174.0,36,51
2026-07-10,120.0,167.0,35,50
2026-07-11,113.0,160.0,44,49
2026-07-12,106.0,153.0,43,48
2026-07-13,129.0,176.0,42,47
2026-07-14,122.0,169.0,41,46
2026-07-15,115.0,162.0,40,45
2026-07-16,108.0,155.0,39,44
2026-07-17,101.0,148.0,38,43
2026-07-18,124.0,171.0,37,42
2026-07-19,117.0,164.0,36,41
2026-07-20,110.0,157.0,35,40
2026-07-21,103.0,150.0,44,79
2026-07-22,126.0,173.0,43,78
2026-07-23,119.0,166.0,42,77
2026-07-24,112.0,159.0,41,76
2026-07-25,105.0,152.0,40,75
2026-07-26,128.0,175.0,39,74
2026-07-27,121.0,168.0,38,73
2026-07-28,114.0,161.0,37,72
2026-07-29,107.0,154.0,36,71
2026-07-30,100.0,147.0,35,70
2026-07-31,123.0,170.0,44,69
2026-08-01,116.0,163.0,43,68
2026-08-02,109.0,156.0,42,67
2026-08-03,102.0,149.0,41,66
2026-08-04,125.0,172.0,40,65
2026-08-05,118.0,165.0,39,64
2026-08-06,111.0,158.0,38,63
2026-08-07,104.0,151.0,37,62
2026-08-08,127.0,174.0,36,61
2026-08-09,120.0,167.0,35,60
2026-08-10,113.0,160.0,44,59
2026-08-11,106.0,153.0,43,58
2026-08-12,129.0,176.0,42,57
2026-08-13,122.0,169.0,41,56
2026-08-14,115.0,162.0,40,55
2026-08-15,108.0,155.0,39,54
2026-08-16,101.0,148.0,38,53
2026-08-17,124.0,171.0,37,52
2026-08-18,117.0,164.0,36,51
2026-08-19,110.0,157.0,35,50
2026-08-20,103.0,150.0,44,49
2026-08-21,126.0,173.0,43,48
2026-08-22,119.0,166.0,42,47
2026-08-23,112.0,159.0,41,46
2026-08-24,105.0,152.0,40,45
2026-08-25,128.0,175.0,39,44
2026-08-26,121.0,168.0,38,43
2026-08-27,114.0,161.0,37,42
2026-08-28,107.0,154.0,36,41
2026-08-29,100.0,147.0,35,40
