date,avg_temp_c,avg_humidity_percent,total_rain_mm,max_wind_kmh
2020-07-24,30.7,69,0.1,15.1
2020-07-25,30.9,70,0.0,13.5
2020-07-26,31.4,69,0.0,13.0
2020-07-27,32.2,68,1.2,8.9
2020-07-28,33.9,59,0.0,9.2
2020-07-29,33.0,67,0.0,15.5
2020-07-30,30.0,76,4.7,21.1
2020-07-31,30.5,73,8.9,16.9
2020-08-01,30.7,75,6.8,13.6
2020-08-02,32.0,70,0.1,10.0
2020-08-03,33.0,66,0.0,12.9
2020-08-04,32.9,67,0.0,12.9
2020-08-05,33.1,67,0.0,18.0
2020-08-06,31.6,70,0.0,14.6
2020-08-07,32.2,64,0.0,20.0
2020-08-08,32.4,65,0.0,10.5
2020-08-09,30.9,79,23.7,10.1
2020-08-10,30.4,82,6.1,13.6
2020-08-11,30.8,79,3.7,10.7
2020-08-12,32.3,74,2.3,17.1
2020-08-13,30.9,77,0.1,19.8
2020-08-14,30.2,73,1.6,17.2
2020-08-15,31.3,70,0.7,13.4
2020-08-16,31.7,70,1.2,13.4
2020-08-17,31.7,73,0.2,13.8
2020-08-18,32.2,72,2.6,13.8
2020-08-19,30.7,78,17.0,18.2
2020-08-20,27.4,86,4.8,20.2
2020-08-21,27.5,85,2.9,13.8
2020-08-22,28.8,78,0.0,7.1
2020-08-23,29.7,75,0.8,10.1
2020-08-24,30.4,72,0.4,11.4
2020-08-25,30.0,74,1.0,15.3
2020-08-26,28.9,83,4.2,18.1
2020-08-27,28.4,82,6.3,10.9
2020-08-28,27.7,85,12.9,8.8
2020-08-29,28.7,78,0.3,6.9
2020-08-30,29.3,77,1.6,12.9
2020-08-31,28.9,77,6.7,19.4
2020-09-01,29.0,74,1.3,22.2
2020-09-02,29.1,79,2.7,12.9
2020-09-03,28.7,82,13.0,12.3
2020-09-04,26.7,91,22.7,12.4
2020-09-05,27.9,88,12.4,7.2
2020-09-06,28.4,84,1.1,8.8
2020-09-07,28.8,79,0.0,8.2
2020-09-08,29.7,76,0.0,7.4
2020-09-09,30.1,75,0.0,7.6
2020-09-10,30.3,74,0.0,10.5
2020-09-11,30.1,69,0.0,9.1
2020-09-12,30.5,68,0.0,9.7
2020-09-13,30.8,64,0.0,7.9
2020-09-14,30.7,62,0.0,10.7
2020-09-15,31.4,63,0.0,11.3
2020-09-16,32.0,61,0.0,13.8
2020-09-17,32.2,59,0.0,10.5
2020-09-18,31.6,63,0.0,9.4
2020-09-19,31.4,59,0.0,10.1
2020-09-20,30.8,58,0.0,16.7
2020-09-21,31.0,55,0.0,12.0
2020-09-22,31.4,54,0.0,6.9
2020-09-23,30.9,59,0.0,9.3
2020-09-24,30.8,60,0.0,15.8
2020-09-25,30.6,54,0.0,12.2
2020-09-26,28.7,50,0.0,14.2
2020-09-27,29.3,50,0.0,14.6
2020-09-28,29.0,54,0.0,10.1
2020-09-29,28.4,55,0.0,11.0
2020-09-30,28.3,54,0.0,11.5
2020-10-01,28.5,53,0.0,9.3
2020-10-02,27.9,48,0.0,11.8
2020-10-03,27.9,45,0.0,12.3
2020-10-04,27.4,48,0.0,14.2
2020-10-05,26.9,54,0.0,13.7
2020-10-06,27.4,51,0.0,10.2
2020-10-07,27.7,48,0.0,13.0
2020-10-08,27.6,44,0.0,11.3
2020-10-09,28.0,46,0.0,11.5
2020-10-10,27.7,52,0.0,13.3
2020-10-11,26.8,51,0.0,14.3
2020-10-12,27.4,44,0.0,9.7
2020-10-13,27.7,45,0.0,12.5
2020-10-14,26.6,48,0.0,14.1
2020-10-15,25.9,43,0.0,13.2
2020-10-16,25.7,42,0.0,11.4
2020-10-17,25.7,40,0.0,11.5
2020-10-18,25.7,39,0.0,13.3
2020-10-19,25.0,40,0.0,11.2
2020-10-20,24.8,35,0.0,11.5
2020-10-21,25.0,39,0.0,11.1
2020-10-22,24.1,44,0.0,12.9
2020-10-23,23.9,47,0.0,9.2
2020-10-24,24.2,48,0.0,9.7
2020-10-25,24.3,40,0.0,15.2
2020-10-26,23.2,43,0.0,12.3
2020-10-27,22.0,43,0.0,9.2
2020-10-28,22.0,47,0.0,9.5
2020-10-29,22.6,45,0.0,9.3
2020-10-30,22.2,51,0.0,17.9
2020-10-31,20.8,45,0.0,15.1
2020-11-01,21.2,42,0.0,10.4
2020-11-02,22.2,31,0.0,10.8
2020-11-03,21.2,42,0.0,10.3
2020-11-04,21.5,49,0.0,9.4
2020-11-05,21.1,47,0.0,8.8
2020-11-06,20.9,51,0.0,12.5
2020-11-07,20.7,50,0.0,12.9
2020-11-08,20.3,48,0.0,9.5
2020-11-09,20.4,55,0.0,9.9
2020-11-10,20.3,57,0.0,10.5
2020-11-11,20.1,60,0.0,8.6
2020-11-12,19.7,59,0.0,9.4
2020-11-13,19.5,61,0.0,10.0
2020-11-14,18.8,68,0.0,11.6
2020-11-15,16.7,76,5.5,17.7
2020-11-16,16.3,81,1.2,14.3
2020-11-17,16.2,66,0.0,10.8
2020-11-18,14.9,62,0.0,9.7
2020-11-19,15.6,56,0.0,9.0
2020-11-20,15.6,57,0.0,16.9
2020-11-21,14.4,52,0.0,12.2
2020-11-22,14.1,56,0.0,10.6
2020-11-23,15.4,60,0.0,9.4
2020-11-24,17.3,59,0.0,17.7
2020-11-25,15.3,74,3.1,13.4
2020-11-26,15.2,70,0.0,11.4
2020-11-27,15.5,64,0.0,13.3
2020-11-28,14.8,59,0.0,11.5
2020-11-29,15.0,66,0.0,9.0
2020-11-30,15.6,70,0.0,10.1
2020-12-01,17.2,66,0.0,7.7
2020-12-02,17.0,71,0.0,9.3
2020-12-03,17.4,71,0.0,7.6
2020-12-04,17.3,74,0.0,9.7
2020-12-05,18.1,71,0.0,12.1
2020-12-06,18.0,75,0.0,8.7
2020-12-07,17.4,71,0.0,10.0
2020-12-08,16.3,68,0.0,12.2
2020-12-09,15.6,76,1.3,12.7
2020-12-10,16.1,74,0.0,10.6
2020-12-11,14.5,72,2.7,20.0
2020-12-12,13.4,78,5.0,9.7
2020-12-13,12.0,82,0.0,8.9
2020-12-14,11.4,78,0.0,10.1
2020-12-15,10.5,79,0.0,9.8
2020-12-16,9.6,80,0.0,9.6
2020-12-17,9.2,69,0.0,11.0
2020-12-18,9.4,67,0.0,11.5
2020-12-19,9.9,67,0.0,10.8
2020-12-20,11.8,68,0.0,10.9
2020-12-21,13.0,72,0.0,10.3
2020-12-22,12.6,74,0.0,9.8
2020-12-23,13.1,74,0.0,6.6
2020-12-24,12.1,78,0.0,7.4
2020-12-25,11.6,80,0.0,9.2
2020-12-26,10.5,85,0.0,7.9
2020-12-27,9.4,91,6.2,15.2
2020-12-28,9.7,74,0.0,14.5
2020-12-29,8.6,78,0.0,11.4
2020-12-30,8.7,77,0.0,9.5
2020-12-31,8.2,83,0.0,11.1
2021-01-01,9.3,80,0.0,9.5
2021-01-02,9.8,86,2.6,11.7
2021-01-03,13.9,87,2.4,15.3
2021-01-04,15.4,88,11.2,15.5
2021-01-05,15.0,93,23.1,20.5
2021-01-06,14.1,90,0.3,20.4
2021-01-07,12.2,91,0.0,8.9
2021-01-08,12.4,87,0.0,8.8
2021-01-09,10.9,86,0.0,9.9
2021-01-10,9.7,89,0.0,9.7
2021-01-11,10.2,88,0.0,7.0
2021-01-12,9.4,91,0.0,7.6
2021-01-13,8.3,90,0.0,6.5
2021-01-14,8.5,91,0.0,9.2
2021-01-15,9.5,91,0.0,5.4
2021-01-16,8.4,95,0.0,6.2
2021-01-17,8.4,90,0.0,11.9
2021-01-18,11.1,89,0.0,11.2
2021-01-19,12.0,85,0.0,9.2
2021-01-20,12.4,83,0.0,10.7
2021-01-21,11.4,79,0.0,11.4
2021-01-22,12.0,82,0.0,17.2
2021-01-23,12.1,83,0.8,17.0
2021-01-24,11.3,82,0.0,10.9
2021-01-25,11.5,69,0.0,10.4
2021-01-26,10.7,72,0.0,11.5
2021-01-27,10.9,71,0.0,10.7
2021-01-28,11.3,73,0.0,11.1
2021-01-29,11.0,74,0.0,10.5
2021-01-30,10.9,70,0.0,12.3
2021-01-31,12.8,68,0.0,10.9
2021-02-01,13.2,76,0.0,9.8
2021-02-02,13.1,74,0.0,11.3
2021-02-03,13.8,77,1.1,17.8
2021-02-04,12.7,78,0.0,18.7
2021-02-05,12.2,77,0.0,9.2
2021-02-06,13.3,73,0.0,13.8
2021-02-07,14.9,69,0.0,10.5
2021-02-08,15.2,74,0.0,10.2
2021-02-09,15.5,75,0.0,9.1
2021-02-10,16.2,77,0.0,9.0
2021-02-11,16.2,78,0.0,9.0
2021-02-12,16.1,79,0.0,7.9
2021-02-13,15.9,84,0.0,8.3
2021-02-14,15.3,87,0.0,9.2
2021-02-15,15.3,88,0.0,8.4
2021-02-16,16.0,87,0.0,9.4
2021-02-17,17.1,82,0.0,6.4
2021-02-18,16.4,85,0.0,9.5
2021-02-19,16.6,80,0.0,8.1
2021-02-20,17.3,75,0.0,8.0
2021-02-21,18.2,72,0.0,9.0
2021-02-22,18.3,75,0.0,10.6
2021-02-23,18.9,78,0.0,11.4
2021-02-24,19.0,75,0.0,10.6
2021-02-25,20.6,66,0.0,14.1
2021-02-26,20.7,72,0.0,17.4
2021-02-27,19.5,68,0.0,19.5
2021-02-28,17.7,72,0.0,9.2
2021-03-01,18.3,63,0.0,17.3
2021-03-02,18.6,50,0.0,17.3
2021-03-03,19.1,59,0.0,9.4
2021-03-04,19.3,64,0.0,10.0
2021-03-05,19.9,58,0.0,14.8
2021-03-06,19.4,57,0.0,17.1
2021-03-07,22.4,48,0.2,20.1
2021-03-08,21.6,59,0.7,16.9
2021-03-09,21.6,58,0.0,16.8
2021-03-10,21.8,63,0.0,10.7
2021-03-11,21.3,61,0.0,17.7
2021-03-12,19.9,58,1.3,22.9
2021-03-13,19.6,58,0.0,14.2
2021-03-14,20.5,64,0.0,15.2
2021-03-15,20.6,64,0.0,11.2
2021-03-16,22.0,64,0.0,11.9
2021-03-17,22.0,63,0.7,13.0
2021-03-18,22.6,58,0.0,14.2
2021-03-19,22.7,52,0.1,12.8
2021-03-20,22.5,52,0.0,13.4
2021-03-21,21.0,64,0.0,21.0
2021-03-22,20.7,65,2.6,26.6
2021-03-23,19.8,68,3.9,31.6
2021-03-24,19.4,67,0.6,15.5
2021-03-25,20.3,63,0.0,15.6
2021-03-26,21.5,62,0.0,10.1
2021-03-27,23.0,63,0.0,9.1
2021-03-28,25.5,59,0.0,18.8
2021-03-29,27.6,46,0.0,22.8
2021-03-30,25.5,45,0.0,19.2
2021-03-31,24.1,19,0.0,24.4
2021-04-01,23.2,18,0.0,25.7
2021-04-02,21.5,20,0.0,19.7
2021-04-03,22.1,31,0.0,12.5
2021-04-04,23.7,36,0.0,15.2
2021-04-05,24.8,38,0.0,17.2
2021-04-06,24.4,45,3.1,28.8
2021-04-07,22.9,59,0.3,15.3
2021-04-08,22.4,41,0.0,13.9
2021-04-09,24.0,38,0.0,14.6
2021-04-10,25.7,30,0.0,14.5
2021-04-11,26.2,34,0.0,12.7
2021-04-12,27.0,34,0.0,18.5
2021-04-13,27.9,35,0.0,13.2
2021-04-14,28.1,32,0.0,19.3
2021-04-15,26.8,36,0.0,21.9
2021-04-16,24.9,45,2.9,28.6
2021-04-17,21.4,77,7.8,19.0
2021-04-18,23.6,62,0.0,14.1
2021-04-19,25.4,41,0.0,15.0
2021-04-20,22.7,48,0.8,17.9
2021-04-21,21.2,63,1.4,15.5
2021-04-22,21.3,66,0.1,25.5
2021-04-23,21.1,59,3.3,20.0
2021-04-24,22.6,52,0.0,13.1
2021-04-25,26.7,35,0.0,10.8
2021-04-26,27.9,35,0.0,10.8
2021-04-27,29.8,34,0.0,27.7
2021-04-28,30.8,27,0.0,19.5
2021-04-29,30.9,26,0.0,25.4
2021-04-30,31.0,30,0.0,16.8
2021-05-01,31.1,28,0.0,15.0
2021-05-02,31.7,30,0.0,11.7
2021-05-03,31.7,31,0.0,10.1
2021-05-04,30.6,37,1.5,18.1
2021-05-05,29.4,44,0.0,16.9
2021-05-06,28.8,42,0.9,21.4
2021-05-07,28.5,44,0.5,19.7
2021-05-08,29.4,41,0.0,13.5
2021-05-09,30.1,36,0.4,15.6
2021-05-10,30.9,37,0.0,25.3
2021-05-11,29.8,42,0.0,16.9
2021-05-12,28.5,46,0.3,11.6
2021-05-13,26.2,59,1.0,20.3
2021-05-14,26.9,53,0.2,17.1
2021-05-15,28.7,42,0.0,15.5
2021-05-16,30.6,32,0.0,14.5
2021-05-17,31.6,29,0.0,15.5
2021-05-18,32.3,27,0.0,19.6
2021-05-19,29.2,44,0.0,17.6
2021-05-20,29.2,46,0.0,26.1
2021-05-21,30.2,43,0.2,29.0
2021-05-22,30.4,38,0.0,10.2
2021-05-23,28.9,37,0.0,16.6
2021-05-24,29.8,37,0.0,17.6
2021-05-25,31.4,28,0.0,14.5
2021-05-26,32.5,26,0.0,15.8
2021-05-27,34.2,24,0.0,13.1
2021-05-28,34.8,28,0.0,14.8
2021-05-29,35.0,34,0.0,29.3
2021-05-30,33.8,44,0.0,21.9
2021-05-31,31.8,47,0.6,31.0
2021-06-01,28.7,57,3.3,14.8
2021-06-02,30.6,49,0.4,10.7
2021-06-03,29.7,54,1.4,17.6
2021-06-04,29.5,54,0.9,9.6
2021-06-05,30.9,51,0.4,14.9
2021-06-06,32.7,45,0.0,10.0
2021-06-07,35.1,37,0.0,11.2
2021-06-08,36.1,38,0.0,12.4
2021-06-09,37.3,39,0.0,15.8
2021-06-10,36.7,42,0.0,18.1
2021-06-11,35.4,49,0.1,19.0
2021-06-12,35.0,48,0.0,22.7
2021-06-13,30.6,61,4.0,25.6
2021-06-14,31.3,52,0.0,11.6
2021-06-15,31.8,51,0.0,15.9
2021-06-16,29.5,60,0.1,12.2
2021-06-17,30.5,53,0.0,8.0
2021-06-18,32.9,42,0.0,13.1
2021-06-19,33.4,44,0.0,22.7
2021-06-20,32.4,49,0.0,18.8
2021-06-21,32.9,44,0.0,11.6
2021-06-22,33.8,41,0.0,12.4
2021-06-23,34.4,37,0.0,10.0
2021-06-24,33.3,40,0.1,24.7
2021-06-25,33.5,42,0.0,15.1
2021-06-26,31.9,47,0.0,13.0
2021-06-27,33.2,45,0.0,10.9
2021-06-28,34.7,40,0.0,14.2
2021-06-29,35.9,35,0.0,18.7
2021-06-30,36.5,35,0.0,17.1
2021-07-01,36.2,39,0.0,18.5
2021-07-02,35.9,39,0.2,14.8
2021-07-03,33.5,48,0.1,18.7
2021-07-04,34.5,47,0.0,12.3
2021-07-05,34.4,47,0.0,14.6
2021-07-06,35.2,45,0.0,10.1
2021-07-07,35.8,40,0.0,10.8
2021-07-08,35.0,44,0.0,20.7
2021-07-09,34.2,52,0.0,15.6
2021-07-10,33.6,59,0.3,10.7
2021-07-11,33.2,64,1.7,16.8
2021-07-12,29.8,75,5.0,26.7
2021-07-13,29.0,78,2.9,17.3
2021-07-14,30.2,71,0.2,12.3
2021-07-15,31.1,68,0.0,14.8
2021-07-16,32.2,68,0.6,13.7
2021-07-17,33.7,61,0.2,13.6
2021-07-18,34.9,61,0.0,21.4
2021-07-19,30.4,76,7.2,23.0
2021-07-20,27.4,85,20.8,17.8
2021-07-21,28.5,80,2.4,12.6
2021-07-22,29.8,77,0.6,11.6
2021-07-23,29.7,73,0.3,19.5
2021-07-24,32.0,65,0.2,9.1
2021-07-25,32.5,70,0.4,11.6
2021-07-26,31.0,80,1.5,14.1
2021-07-27,29.7,86,8.4,13.0
2021-07-28,27.0,93,18.3,15.5
2021-07-29,27.8,82,15.1,14.4
2021-07-30,28.0,83,4.3,17.7
2021-07-31,29.0,81,2.1,17.3
2021-08-01,29.6,79,4.5,11.5
2021-08-02,30.2,81,3.0,9.1
2021-08-03,30.2,81,0.2,11.5
2021-08-04,30.3,79,0.1,10.0
2021-08-05,30.4,79,5.6,13.0
2021-08-06,29.8,79,0.8,14.4
2021-08-07,30.6,75,0.0,9.9
2021-08-08,30.8,76,0.3,13.4
2021-08-09,30.4,78,1.2,12.6
2021-08-10,31.1,74,0.4,12.0
2021-08-11,31.9,66,0.0,10.7
2021-08-12,32.2,62,0.0,9.4
2021-08-13,32.4,61,0.0,11.0
2021-08-14,31.9,65,0.6,11.3
2021-08-15,30.0,74,7.3,18.8
2021-08-16,31.3,67,0.4,10.5
2021-08-17,32.6,60,0.0,10.1
2021-08-18,33.0,54,0.0,10.0
2021-08-19,33.1,54,0.0,10.1
2021-08-20,32.4,64,0.1,15.7
2021-08-21,28.9,73,0.0,20.9
2021-08-22,28.2,78,0.9,13.3
2021-08-23,29.6,73,0.0,8.0
2021-08-24,32.2,66,0.0,14.0
2021-08-25,33.6,57,0.0,12.1
2021-08-26,33.3,53,0.0,11.9
2021-08-27,32.8,57,0.0,11.7
2021-08-28,31.9,63,0.0,13.7
2021-08-29,31.3,67,0.1,15.3
2021-08-30,29.8,73,3.5,18.4
2021-08-31,29.0,72,4.0,18.6
2021-09-01,29.4,73,0.8,11.3
2021-09-02,29.6,73,0.0,10.2
2021-09-03,28.8,77,5.5,10.3
2021-09-04,29.4,73,0.0,6.9
2021-09-05,30.4,70,0.0,10.0
2021-09-06,31.2,69,0.1,8.2
2021-09-07,30.8,72,0.7,15.6
2021-09-08,28.9,79,3.8,14.3
2021-09-09,28.6,78,5.1,13.9
2021-09-10,27.2,85,16.1,17.3
2021-09-11,25.9,87,18.9,19.1
2021-09-12,25.5,84,2.6,16.4
2021-09-13,27.1,81,0.0,8.7
2021-09-14,28.4,79,0.7,9.1
2021-09-15,29.0,75,0.0,13.8
2021-09-16,29.4,75,0.0,10.7
2021-09-17,28.5,74,0.0,15.3
2021-09-18,28.9,78,0.2,7.9
2021-09-19,29.3,79,0.6,8.6
2021-09-20,29.5,78,0.1,7.5
2021-09-21,28.0,82,13.5,21.6
2021-09-22,26.9,84,10.0,12.9
2021-09-23,25.7,86,3.1,13.1
2021-09-24,26.5,82,0.2,10.5
2021-09-25,27.9,77,0.1,7.9
2021-09-26,28.2,76,0.0,7.8
2021-09-27,28.6,78,0.0,8.0
2021-09-28,29.0,75,0.0,6.9
2021-09-29,29.2,73,0.2,9.4
2021-09-30,28.9,75,0.3,8.6
2021-10-01,29.0,77,0.6,10.5
2021-10-02,28.5,78,0.2,11.9
2021-10-03,29.3,74,1.1,12.0
2021-10-04,28.4,74,1.7,12.3
2021-10-05,28.0,75,1.1,11.6
2021-10-06,28.0,70,0.0,9.2
2021-10-07,28.0,63,0.0,10.1
2021-10-08,28.5,64,0.0,10.5
2021-10-09,28.6,64,0.0,10.5
2021-10-10,28.9,62,0.0,17.8
2021-10-11,27.9,57,0.0,20.5
2021-10-12,26.5,59,0.0,9.8
2021-10-13,25.2,61,0.0,9.4
2021-10-14,25.2,56,0.0,10.5
2021-10-15,25.9,49,0.0,8.0
2021-10-16,25.9,53,0.0,9.4
2021-10-17,25.1,63,1.5,16.6
2021-10-18,23.4,79,1.1,15.9
2021-10-19,24.8,69,0.0,14.8
2021-10-20,24.5,60,0.0,9.4
2021-10-21,24.0,55,0.0,10.2
2021-10-22,23.8,57,0.0,18.7
2021-10-23,20.7,79,42.6,27.9
2021-10-24,19.1,81,2.3,19.8
